mag_x,mag_y,mag_z,acc_x,acc_y,acc_z
80,686,933,1446,361,-14296
69,450,939,783,-234,-15574
69,450,939,1558,-264,-14313
38,243,951,1015,547,-13278
18,17,933,619,-378,-15235
18,17,933,582,-404,-18247
-60,-229,918,2069,1428,-13232
-169,-431,915,1148,686,-12828
-169,-431,915,825,610,-15901
-251,-580,901,1400,661,-14751
-390,-712,900,779,875,-15376
-390,-712,900,614,84,-14733
-583,-848,915,592,-653,-14948
-758,-935,931,961,929,-13290
-758,-935,931,271,28,-14710
-910,-997,929,598,-589,-17491
-1091,-1041,912,900,-806,-14648
-1091,-1041,912,1311,458,-13747
-1287,-1100,920,1129,474,-13719
-1457,-1122,893,665,449,-15243
-1457,-1122,893,1269,159,-15022
-1633,-1107,887,710,-392,-15031
-1817,-1064,869,1264,-449,-15015
-1817,-1064,869,1579,-375,-14104
-1959,-1025,856,811,404,-13767
-2072,-982,848,419,820,-14577
-2072,-982,848,125,440,-14708
-2210,-897,853,551,-213,-16258
-2331,-817,834,916,-253,-15129
-2331,-817,834,927,458,-14046
-2472,-751,796,1315,501,-12937
-2561,-609,777,834,663,-14338
-2561,-609,777,561,1096,-15058
-2653,-446,798,699,775,-14130
-2766,-278,778,868,-448,-16019
-2766,-278,778,345,342,-14080
-2871,-128,727,1103,265,-13864
-2906,78,735,1174,607,-14009
-2906,78,735,1326,331,-15653
-2893,282,753,887,710,-15211
-2911,457,739,674,411,-14826
-2911,457,739,568,794,-13235
-2932,609,715,932,261,-14128
-2870,791,716,1537,934,-14768
-2870,791,716,1790,-48,-15471
-2790,986,738,1677,1167,-14175
